date,jour_semaine,is_weekend,heure,pluie,station,quartier,trajets
2026-06-01,Monday,False,0,False,Invalides,Ouest,8
2026-06-01,Monday,False,0,False,La Villette,Nord,12
2026-06-01,Monday,False,0,False,Ménilmontant,Est,11
2026-06-01,Monday,False,0,False,Auteuil,Ouest,8
2026-06-01,Monday,False,0,False,Belleville,Est,10
2026-06-01,Monday,False,0,False,Place d'Italie,Sud,8
2026-06-01,Monday,False,0,False,Père Lachaise,Est,7
2026-06-01,Monday,False,0,False,Nation,Est,8
2026-06-01,Monday,False,0,False,Barbès,Nord,11
2026-06-01,Monday,False,0,False,République,Centre,13
2026-06-01,Monday,False,0,False,Châtelet,Centre,10
2026-06-01,Monday,False,0,False,Trocadéro,Ouest,7
2026-06-01,Monday,False,0,False,Opéra,Nord,6
2026-06-01,Monday,False,0,False,Gare de Lyon,Est,9
2026-06-01,Monday,False,0,False,Montmartre,Nord,11
2026-06-01,Monday,False,0,False,Denfert-Rochereau,Sud,12
2026-06-01,Monday,False,0,False,Boulogne,Ouest,9
2026-06-01,Monday,False,0,False,Louvre,Centre,9
2026-06-01,Monday,False,0,False,Bastille,Centre,6
2026-06-01,Monday,False,0,False,La Défense,Ouest,14
2026-06-01,Monday,False,0,False,Hôtel de Ville,Centre,11
2026-06-01,Monday,False,0,False,Montparnasse,Sud,13
2026-06-01,Monday,False,0,False,Gare du Nord,Nord,10
2026-06-01,Monday,False,0,False,Invalides 2,Ouest,7
2026-06-01,Monday,False,0,False,La Villette 2,Nord,15
2026-06-01,Monday,False,0,False,Ménilmontant 2,Est,8
2026-06-01,Monday,False,0,False,Auteuil 2,Ouest,10
2026-06-01,Monday,False,0,False,Belleville 2,Est,13
2026-06-01,Monday,False,0,False,Place d'Italie 2,Sud,12
2026-06-01,Monday,False,0,False,Père Lachaise 2,Est,13
2026-06-01,Monday,False,0,False,Nation 2,Est,10
2026-06-01,Monday,False,0,False,Barbès 2,Nord,10
2026-06-01,Monday,False,0,False,République 2,Centre,11
2026-06-01,Monday,False,0,False,Châtelet 2,Centre,8
2026-06-01,Monday,False,0,False,Trocadéro 2,Ouest,10
2026-06-01,Monday,False,0,False,Opéra 2,Nord,13
2026-06-01,Monday,False,0,False,Gare de Lyon 2,Est,9
2026-06-01,Monday,False,0,False,Montmartre 2,Nord,5
2026-06-01,Monday,False,0,False,Denfert-Rochereau 2,Sud,10
2026-06-01,Monday,False,0,False,Boulogne 2,Ouest,8
2026-06-01,Monday,False,1,False,Invalides,Ouest,10
2026-06-01,Monday,False,1,False,La Villette,Nord,8
2026-06-01,Monday,False,1,False,Ménilmontant,Est,7
2026-06-01,Monday,False,1,False,Auteuil,Ouest,9
2026-06-01,Monday,False,1,False,Belleville,Est,7
2026-06-01,Monday,False,1,False,Place d'Italie,Sud,13
2026-06-01,Monday,False,1,False,Père Lachaise,Est,8
2026-06-01,Monday,False,1,False,Nation,Est,11
2026-06-01,Monday,False,1,False,Barbès,Nord,12
2026-06-01,Monday,False,1,False,République,Centre,6
2026-06-01,Monday,False,1,False,Châtelet,Centre,7
2026-06-01,Monday,False,1,False,Trocadéro,Ouest,13
2026-06-01,Monday,False,1,False,Opéra,Nord,14
2026-06-01,Monday,False,1,False,Gare de Lyon,Est,9
2026-06-01,Monday,False,1,False,Montmartre,Nord,8
2026-06-01,Monday,False,1,False,Denfert-Rochereau,Sud,7
2026-06-01,Monday,False,1,False,Boulogne,Ouest,7
2026-06-01,Monday,False,1,False,Louvre,Centre,8
2026-06-01,Monday,False,1,False,Bastille,Centre,16
2026-06-01,Monday,False,1,False,La Défense,Ouest,13
2026-06-01,Monday,False,1,False,Hôtel de Ville,Centre,12
2026-06-01,Monday,False,1,False,Montparnasse,Sud,12
2026-06-01,Monday,False,1,False,Gare du Nord,Nord,9
2026-06-01,Monday,False,1,False,Invalides 2,Ouest,12
2026-06-01,Monday,False,1,False,La Villette 2,Nord,11
2026-06-01,Monday,False,1,False,Ménilmontant 2,Est,8
2026-06-01,Monday,False,1,False,Auteuil 2,Ouest,7
2026-06-01,Monday,False,1,False,Belleville 2,Est,9
2026-06-01,Monday,False,1,False,Place d'Italie 2,Sud,9
2026-06-01,Monday,False,1,False,Père Lachaise 2,Est,14
2026-06-01,Monday,False,1,False,Nation 2,Est,7
2026-06-01,Monday,False,1,False,Barbès 2,Nord,8
2026-06-01,Monday,False,1,False,République 2,Centre,9
2026-06-01,Monday,False,1,False,Châtelet 2,Centre,9
2026-06-01,Monday,False,1,False,Trocadéro 2,Ouest,10
2026-06-01,Monday,False,1,False,Opéra 2,Nord,14
2026-06-01,Monday,False,1,False,Gare de Lyon 2,Est,12
2026-06-01,Monday,False,1,False,Montmartre 2,Nord,7
2026-06-01,Monday,False,1,False,Denfert-Rochereau 2,Sud,9
2026-06-01,Monday,False,1,False,Boulogne 2,Ouest,11
2026-06-01,Monday,False,2,False,Invalides,Ouest,13
2026-06-01,Monday,False,2,False,La Villette,Nord,13
2026-06-01,Monday,False,2,False,Ménilmontant,Est,11
2026-06-01,Monday,False,2,False,Auteuil,Ouest,7
2026-06-01,Monday,False,2,False,Belleville,Est,12
2026-06-01,Monday,False,2,False,Place d'Italie,Sud,10
2026-06-01,Monday,False,2,False,Père Lachaise,Est,10
2026-06-01,Monday,False,2,False,Nation,Est,13
2026-06-01,Monday,False,2,False,Barbès,Nord,6
2026-06-01,Monday,False,2,False,République,Centre,9
2026-06-01,Monday,False,2,False,Châtelet,Centre,9
2026-06-01,Monday,False,2,False,Trocadéro,Ouest,16
2026-06-01,Monday,False,2,False,Opéra,Nord,8
2026-06-01,Monday,False,2,False,Gare de Lyon,Est,9
2026-06-01,Monday,False,2,False,Montmartre,Nord,12
2026-06-01,Monday,False,2,False,Denfert-Rochereau,Sud,7
2026-06-01,Monday,False,2,False,Boulogne,Ouest,17
2026-06-01,Monday,False,2,False,Louvre,Centre,6
2026-06-01,Monday,False,2,False,Bastille,Centre,9
2026-06-01,Monday,False,2,False,La Défense,Ouest,8
2026-06-01,Monday,False,2,False,Hôtel de Ville,Centre,14
2026-06-01,Monday,False,2,False,Montparnasse,Sud,8
2026-06-01,Monday,False,2,False,Gare du Nord,Nord,7
2026-06-01,Monday,False,2,False,Invalides 2,Ouest,7
2026-06-01,Monday,False,2,False,La Villette 2,Nord,7
2026-06-01,Monday,False,2,False,Ménilmontant 2,Est,12
